Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,1,0,0,1
9.2,7,0,0,7
8.8,6,1,0,7
8.4,10,1,2,13
8,13,2,2,17
7.6,16,2,4,21
7.2,15,3,6,22
6.8,13,4,6,21
6.4,18,4,6,26
6,20,4,11,29
5.6,19,7,12,30
5.2,18,9,13,32
4.8,19,6,17,31
4.4,18,5,20,30
4,15,7,23,30
3.6,11,9,27,29
3.2,15,9,27,34
2.8,18,11,31,38
2.4,21,13,39,43
2,19,12,46,44
1.6,23,14,52,50
1.2,23,16,55,52
0.8,21,16,54,52
0.4,18,21,55,51
0,18,17,62,50
