time,nI,nA,nC,nColo
10,0,0,0,0
9.6,3,0,2,4
9.2,3,0,2,4
8.8,2,0,4,4
8.4,3,0,5,5
8,6,0,7,9
7.6,11,0,7,15
7.2,14,1,10,19
6.8,11,1,16,19
6.4,14,5,15,23
6,17,6,16,27
5.6,22,6,24,33
5.2,21,7,32,37
4.8,16,9,37,36
4.4,17,11,38,39
4,16,11,48,42
3.6,14,13,50,42
3.2,16,12,54,43
2.8,17,11,62,44
2.4,17,14,62,44
2,14,20,62,44
1.6,14,19,65,44
1.2,13,18,71,43
0.8,14,20,68,45
0.4,16,21,72,48
0,19,24,65,52
