Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,5,0,2,6
9.2,5,0,4,7
8.8,6,2,4,8
8.4,7,2,4,9
8,7,2,9,10
7.6,7,3,14,12
7.2,9,3,19,15
6.8,9,6,20,16
6.4,10,8,23,19
6,11,10,22,21
5.6,12,10,22,23
5.2,14,9,21,24
4.8,14,13,27,28
4.4,13,15,29,30
4,14,15,35,32
3.6,15,17,38,35
3.2,15,16,37,36
2.8,11,17,42,36
2.4,9,18,44,36
2,13,21,48,41
1.6,15,20,57,44
1.2,13,24,58,43
0.8,13,24,60,45
0.4,12,24,70,46
0,14,28,73,49
