Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,5,0,0,5
9.2,9,1,0,10
8.8,10,1,0,11
8.4,12,0,3,14
8,9,2,3,13
7.6,9,2,4,14
7.2,10,3,5,17
6.8,13,3,5,19
6.4,12,6,6,20
6,10,6,7,18
5.6,12,6,9,20
5.2,14,6,10,23
4.8,16,6,9,24
4.4,19,8,9,29
4,17,9,16,32
3.6,15,10,16,32
3.2,14,10,16,30
2.8,10,12,17,29
2.4,11,13,22,34
2,12,13,25,36
1.6,11,16,28,38
1.2,16,17,23,42
0.8,17,17,22,41
0.4,17,16,26,39
0,17,12,30,38
