Clade_name,Status,Missing_species,Branching_times
61,"Endemic",0,"9.807698,9.697781,6.748653,6.403852,3.806030,3.388519,3.318382,1.230227,0.551696,0.039189"
88,"Endemic",0,"9.731942,7.510275,7.236170"
16,"Endemic",0,"9.518852,5.744140,3.769892"
19,"Endemic",0,"9.506937,4.620979,3.371319,3.211394,0.780344"
76,"Endemic",0,"9.023951"
26,"Endemic",0,"8.988489,8.942690,7.446929,4.769577,1.957073"
86,"Endemic",0,"8.501885,4.811833,3.697335,2.982436,0.295516,0.200544"
60,"Endemic",0,"8.311059"
97,"Endemic",0,"7.285310"
28,"Endemic",0,"6.551345,5.500849"
94,"Endemic",0,"6.549008,6.091795,5.285970,2.902955,0.337607"
75,"Endemic",0,"6.496662,6.049237,3.301910,0.844056,0.013037"
39,"Endemic",0,"6.468639,3.794931"
1,"Endemic",0,"6.208120,0.396825"
44,"Endemic",0,"5.810508,2.301188,1.958689,0.836290"
43,"Endemic",0,"5.715231"
57,"Endemic",0,"5.375187,5.075000,4.116774,3.550129,3.463990,2.944738,1.316353,1.152273,0.880982,0.390449"
43,"Endemic",0,"5.309207,4.074519,2.527043,0.919517"
8,"Endemic",0,"5.186270,3.081202,1.279328,0.408174,0.124892"
83,"Endemic",0,"5.127083"
18,"Endemic",0,"5.034877,2.856694"
40,"Endemic",0,"4.603001,3.716146"
30,"Endemic",0,"4.235461,4.224955,3.699699,3.466547,3.275192,1.342047,0.220803"
80,"Endemic",0,"4.058885,3.901677"
18,"Endemic",0,"3.822209"
69,"Endemic",0,"3.569679,2.431728,2.037796"
56,"Non_endemic",0,"3.415749"
31,"Non_endemic",0,"3.354818"
24,"Endemic",0,"2.759966,1.913860"
53,"Endemic",0,"2.400666,0.658910"
59,"Endemic",0,"1.914310"
21,"Endemic",0,"1.682833"
88,"Endemic",0,"1.609429"
64,"Non_endemic",0,"1.490174"
72,"Non_endemic",0,"1.449604"
99,"Endemic",0,"1.393642"
11,"Endemic",0,"1.312357,0.136823"
71,"Non_endemic",0,"1.243494"
56,"Endemic",0,"1.100232"
78,"Non_endemic",0,"1.083190"
21,"Non_endemic",0,"0.765732"
67,"Endemic",0,"0.754812"
62,"Non_endemic",0,"0.573662"
59,"Endemic",0,"0.541134"
14,"Non_endemic",0,"0.482350"
28,"Non_endemic",0,"0.449326"
44,"Non_endemic",0,"0.424051"
50,"Non_endemic",0,"0.386705"
37,"Non_endemic",0,"0.073439"
