Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,7,0,0,7
9.2,5,1,4,8
8.8,8,1,3,11
8.4,5,4,9,13
8,8,4,8,15
7.6,9,4,7,16
7.2,7,6,14,18
6.8,10,8,10,21
6.4,14,10,14,28
6,14,11,17,31
5.6,13,11,19,29
5.2,11,13,18,28
4.8,11,16,17,30
4.4,15,14,14,32
4,10,12,26,32
3.6,12,12,29,34
3.2,11,12,31,33
2.8,13,11,33,35
2.4,11,11,32,34
2,11,10,40,34
1.6,13,9,45,37
1.2,13,8,46,38
0.8,12,10,51,37
0.4,13,12,52,39
0,13,16,51,40
