time,nI,nA,nC,nColo
10,0,0,0,0
9.6,3,0,0,3
9.2,7,1,2,9
8.8,8,2,4,12
8.4,11,3,3,15
8,11,4,8,18
7.6,11,3,16,21
7.2,10,3,20,21
6.8,9,6,23,22
6.4,12,6,21,25
6,11,7,23,25
5.6,16,5,23,29
5.2,15,5,27,30
4.8,17,6,26,32
4.4,13,9,35,33
4,13,10,36,34
3.6,13,11,41,35
3.2,14,15,44,36
2.8,15,17,48,40
2.4,16,18,48,38
2,15,18,52,38
1.6,17,17,53,41
1.2,16,20,58,43
0.8,15,23,63,45
0.4,15,25,65,49
0,13,25,70,47
