Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,4,0,0,4
9.2,6,0,0,6
8.8,8,0,0,8
8.4,10,1,0,11
8,12,2,0,14
7.6,14,3,2,17
7.2,20,2,3,23
6.8,20,1,9,24
6.4,21,3,12,26
6,24,3,14,31
5.6,25,4,22,36
5.2,21,6,29,34
4.8,20,8,29,34
4.4,19,13,31,37
4,19,13,37,38
3.6,19,11,36,36
3.2,18,13,35,37
2.8,20,15,36,43
2.4,19,19,47,45
2,18,25,48,47
1.6,18,29,49,47
1.2,20,28,56,51
0.8,16,30,60,52
0.4,15,34,54,50
0,14,33,60,50
