Clade_name,Status,Missing_species,Branching_times
92,"Endemic",0,"9.653752,1.816665,1.641059,1.062426,0.553591"
86,"Endemic",0,"9.499846,7.562758,4.553597,3.794655,2.827307,2.664938,2.577610,2.113314,1.753765,1.107825,0.979024,0.064058"
23,"Endemic&Non_Endemic",0,"8.972838,2.795080,2.296018,0.987739"
67,"Endemic",0,"8.645139,5.393593,5.212422,3.004037"
95,"Endemic",0,"8.445671"
27,"Endemic",0,"8.296231,7.884137,4.868209,3.207761,2.862238,1.846587,0.153618"
96,"Endemic",0,"8.251524,2.598217,2.543952,1.715027,1.511581,0.343297,0.159062"
72,"Endemic",0,"8.156121,4.789565,3.048057,2.178946,1.639556"
40,"Endemic",0,"8.088799,2.536678,2.268569,1.581964,0.719054,0.642076"
0,"Endemic",0,"7.833765,5.981623,3.135524,2.403694,1.670543"
50,"Endemic",0,"7.690032,5.600268,4.960550,4.444622,1.077828,0.526822"
6,"Endemic",0,"7.074554,6.522154,6.321438,3.956071,3.116648"
11,"Endemic",0,"6.805090,5.719232,3.774592"
68,"Endemic",0,"6.771691,2.460088"
56,"Endemic",0,"6.515617,5.693869,1.790339,0.350989"
17,"Endemic",0,"6.383065,2.838845"
7,"Endemic",0,"6.349643,3.971024,3.396137"
80,"Endemic",0,"6.241638"
25,"Non_endemic",0,"6.212402"
46,"Endemic",0,"5.778970,2.127672"
85,"Endemic",0,"5.594903,5.473091"
24,"Endemic",0,"5.387695"
20,"Endemic",0,"5.094467"
90,"Endemic",0,"4.907593,1.724650,0.711485"
71,"Endemic",0,"4.580773,4.226628,4.208225,3.741239,1.794512,0.710246"
50,"Endemic",0,"4.176783,0.502914,0.375504"
74,"Endemic",0,"3.970151"
10,"Endemic",0,"3.919266"
62,"Endemic",0,"3.829894,2.709258,0.441269"
58,"Endemic",0,"3.824486,1.004368"
45,"Endemic",0,"3.457553,2.773444,1.736994"
84,"Endemic",0,"3.412182"
4,"Endemic",0,"3.344527,2.296002"
17,"Non_endemic",0,"3.212180"
53,"Endemic",0,"2.992126,2.922558,2.527813,1.460735"
9,"Endemic",0,"2.755456,0.232765"
24,"Endemic",0,"2.696572"
63,"Endemic&Non_Endemic",0,"2.665713,1.324945"
77,"Non_endemic",0,"2.435237"
52,"Endemic",0,"2.384817"
41,"Endemic",0,"2.313990,1.398072"
53,"Endemic",0,"1.970037,0.967945"
97,"Endemic",0,"1.251456,1.240844,0.349792,0.245307"
60,"Non_endemic",0,"1.203317"
11,"Endemic",0,"1.059703"
20,"Endemic&Non_Endemic",0,"0.541797,0.439282"
0,"Non_endemic",0,"0.488458"
7,"Non_endemic",0,"0.249983"
