name,immi,mig,clado_loc,ana_loc,ext_loc,clado_glo,ana_glo,ext_glo,1_isl_K(CS),n_isl,archi_age,mainland_sp,replicates
standard,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.1,10,2,10,1000,1000
only_local,0.001,0.1,0.2,0.1,0.1,0,0,0,10,2,10,1000,1000
only_global,0.001,0.1,0,0,0,0.2,0.1,0.1,10,2,10,1000,1000
low_clado_l,0.001,0.1,0.1,0.1,0.1,0.2,0.1,0.1,10,2,10,1000,1000
high_clado_l,0.001,0.1,0.4,0.1,0.1,0.2,0.1,0.1,10,2,10,1000,1000
low_clado_g,0.001,0.1,0.2,0.1,0.1,0.1,0.1,0.1,10,2,10,1000,1000
high_clado_g,0.001,0.1,0.2,0.1,0.1,0.4,0.1,0.1,10,2,10,1000,1000
low_ext_l,0.001,0.1,0.2,0.1,0.05,0.2,0.1,0.1,10,2,10,1000,1000
high_ext_l,0.001,0.1,0.2,0.1,0.2,0.2,0.1,0.1,10,2,10,1000,1000
