Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,2,0,0,2
9.2,2,0,0,2
8.8,3,0,0,3
8.4,3,0,0,3
8,2,0,2,3
7.6,2,0,2,3
7.2,3,1,2,5
6.8,4,1,4,7
6.4,3,1,5,7
6,2,1,5,6
5.6,2,1,5,6
5.2,3,1,5,7
4.8,3,0,10,8
4.4,3,0,9,8
4,3,1,12,9
3.6,3,2,11,9
3.2,2,2,14,9
2.8,1,2,19,9
2.4,1,4,23,9
2,1,4,22,9
1.6,1,6,21,9
1.2,1,6,24,9
0.8,1,8,22,9
0.4,1,8,23,9
0,1,8,25,9
