Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,0,0,0,0
9.2,0,0,0,0
8.8,0,0,0,0
8.4,0,0,0,0
8,0,0,0,0
7.6,2,0,0,2
7.2,2,0,0,2
6.8,3,0,2,4
6.4,2,0,4,4
6,1,1,4,4
5.6,1,1,5,4
5.2,3,1,5,6
4.8,4,1,7,7
4.4,3,1,8,6
4,4,1,8,7
3.6,6,1,7,9
3.2,5,1,9,9
2.8,4,1,10,8
2.4,3,2,13,8
2,2,4,13,8
1.6,1,5,13,8
1.2,1,5,14,8
0.8,2,5,14,9
0.4,2,6,13,9
0,3,6,13,10
