Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,1,0,0,1
9.2,1,0,0,1
8.8,0,0,2,1
8.4,0,0,2,1
8,1,0,2,2
7.6,1,0,3,2
7.2,2,0,3,3
6.8,3,0,4,4
6.4,2,0,6,4
6,2,0,7,4
5.6,1,0,10,4
5.2,1,1,8,4
4.8,1,1,9,4
4.4,1,1,9,4
4,2,1,9,5
3.6,1,1,10,5
3.2,2,1,11,6
2.8,2,1,11,6
2.4,2,2,11,6
2,2,1,10,6
1.6,2,1,12,6
1.2,2,1,12,6
0.8,3,1,12,7
0.4,3,1,11,7
0,3,2,10,7
