Clade_name,Status,Missing_species,Branching_times
686,"Endemic",0,"9.853730,9.079923,6.677156,2.074410,1.316231"
747,"Endemic",0,"9.070825,7.065566,4.540705,4.141284"
897,"Endemic",0,"8.785505,5.784569,5.507496,5.011418,1.909490,1.066186,0.398691"
553,"Endemic",0,"8.641257,2.702872"
648,"Endemic",0,"8.567936,4.521401,0.069162"
939,"Endemic",0,"7.675496"
971,"Endemic",0,"6.988271,0.770659"
678,"Non_endemic",0,"5.434012"
946,"Endemic",0,"5.112496,2.619324,2.251117"
399,"Endemic",0,"4.210939"
149,"Endemic",0,"3.701764,3.212457,1.902365"
197,"Non_endemic",0,"3.384705"
401,"Endemic",0,"1.653667,0.125188"
