Clade_name,Status,Missing_species,Branching_times
492,"Endemic",0,"8.881665,2.393040,0.086598"
388,"Endemic",0,"8.706181,3.718957"
889,"Endemic",0,"7.741168,0.891654"
778,"Endemic",0,"6.863949,1.913038,1.380860"
916,"Endemic",0,"6.289258,0.912932,0.716339"
799,"Endemic",0,"6.146652,5.902166,2.084107,1.492079"
171,"Endemic",0,"5.725561,3.503581,2.548328,2.442990,2.231863,2.137040,1.710687,1.576218,1.543813,1.257020,0.519388"
418,"Endemic",0,"5.473581,3.536607,2.443972,2.383888"
708,"Endemic",0,"4.928736"
782,"Non_endemic",0,"4.707539"
333,"Endemic",0,"3.978450,1.528381"
902,"Non_endemic",0,"1.211514"
