Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,0,0,0,0
9.2,0,0,0,0
8.8,0,0,0,0
8.4,1,0,0,1
8,1,0,0,1
7.6,2,0,0,2
7.2,2,0,0,2
6.8,2,0,0,2
6.4,2,0,0,2
6,2,0,0,2
5.6,1,1,0,2
5.2,1,1,0,2
4.8,2,0,2,3
4.4,1,0,4,3
4,0,1,3,2
3.6,0,0,5,2
3.2,0,0,5,2
2.8,0,0,7,2
2.4,0,0,9,2
2,1,0,11,3
1.6,2,1,11,4
1.2,2,3,9,5
0.8,3,4,9,6
0.4,3,5,10,7
0,3,4,11,7
