Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,0,0,0,0
9.2,0,0,0,0
8.8,1,0,0,1
8.4,2,0,0,2
8,3,0,0,3
7.6,2,1,0,3
7.2,2,1,0,3
6.8,2,1,0,3
6.4,2,1,0,3
6,1,1,3,3
5.6,1,1,3,3
5.2,2,1,3,4
4.8,1,2,4,4
4.4,1,1,7,4
4,2,1,9,5
3.6,1,1,9,4
3.2,1,1,9,4
2.8,1,1,11,4
2.4,2,1,11,5
2,1,1,14,5
1.6,1,2,14,5
1.2,1,2,15,5
0.8,1,2,16,5
0.4,1,2,14,5
0,2,3,14,6
