Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,0,0,0,0
9.2,0,0,0,0
8.8,0,0,0,0
8.4,0,0,0,0
8,1,0,0,1
7.6,0,0,2,1
7.2,0,0,2,1
6.8,1,0,2,2
6.4,1,0,2,2
6,1,0,4,3
5.6,1,0,5,3
5.2,2,0,5,4
4.8,1,0,7,4
4.4,1,0,7,4
4,2,0,7,5
3.6,1,1,7,5
3.2,1,1,6,5
2.8,1,1,7,4
2.4,1,1,8,4
2,1,1,8,4
1.6,2,0,8,4
1.2,1,0,9,3
0.8,2,0,10,4
0.4,3,0,10,5
0,4,0,10,6
