Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,1,0,0,1
9.2,2,0,0,2
8.8,2,0,2,3
8.4,2,0,2,3
8,2,0,2,3
7.6,2,0,1,3
7.2,1,0,3,3
6.8,1,0,3,3
6.4,0,1,3,3
6,1,1,3,4
5.6,0,2,3,4
5.2,0,1,5,4
4.8,2,0,5,5
4.4,2,0,7,6
4,2,0,7,6
3.6,2,1,5,6
3.2,1,0,6,5
2.8,1,0,8,5
2.4,2,0,8,6
2,3,1,8,7
1.6,2,1,10,7
1.2,2,1,10,7
0.8,2,2,10,7
0.4,4,3,12,9
0,6,2,15,12
