Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,0,0,0,0
9.2,1,0,0,1
8.8,2,0,0,2
8.4,2,0,0,2
8,3,0,0,3
7.6,2,0,2,3
7.2,1,0,4,3
6.8,2,0,3,4
6.4,2,0,6,5
6,2,1,7,5
5.6,2,1,8,5
5.2,2,2,7,5
4.8,1,2,9,5
4.4,1,2,12,5
4,0,3,15,6
3.6,1,4,15,7
3.2,1,4,13,7
2.8,1,5,12,7
2.4,1,5,11,7
2,1,5,11,7
1.6,1,4,15,7
1.2,2,3,14,8
0.8,2,2,16,8
0.4,0,4,18,8
0,0,4,19,8
