Clade_name,Status,Missing_species,Branching_times
86,"Non_endemic",0,"9.864011"
850,"Endemic",0,"9.547749,2.866403,1.417705"
224,"Endemic",0,"8.446649,8.389592,5.240018,4.942959,4.431530,2.798317,1.528223,1.402292,1.263558"
694,"Endemic",0,"6.398694,1.966954,0.993209"
878,"Non_endemic",0,"6.382028"
681,"Endemic",0,"6.074596"
6,"Endemic",0,"4.826728,3.265645,2.853482,2.173868,1.903534,0.124887"
870,"Non_endemic",0,"4.490906"
558,"Endemic",0,"3.892721,2.880394,2.847590"
652,"Endemic",0,"3.606531,3.195152,2.233133,2.165920,1.822066,0.605232,0.202287,0.116103"
735,"Endemic",0,"3.362815,2.050225"
551,"Non_endemic",0,"1.419826"
733,"Non_endemic",0,"0.952057"
947,"Non_endemic",0,"0.260347"
