Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,1,0,0,1
9.2,1,0,0,1
8.8,2,0,0,2
8.4,2,0,0,2
8,2,0,0,2
7.6,2,1,0,3
7.2,2,1,0,3
6.8,2,1,0,3
6.4,4,1,0,5
6,4,1,0,5
5.6,4,1,0,5
5.2,4,1,0,5
4.8,3,1,2,5
4.4,3,1,2,5
4,2,2,3,5
3.6,2,2,4,5
3.2,3,2,4,6
2.8,3,3,6,6
2.4,3,3,6,6
2,3,3,5,6
1.6,3,3,7,6
1.2,3,3,7,6
0.8,3,5,7,6
0.4,2,6,9,7
0,2,5,10,7
