Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,3,0,0,3
9.2,7,0,0,7
8.8,9,0,2,10
8.4,11,0,4,13
8,12,0,4,14
7.6,15,1,6,19
7.2,19,4,5,24
6.8,21,3,6,27
6.4,21,6,8,31
6,22,6,9,33
5.6,24,10,12,39
5.2,20,10,23,38
4.8,18,13,30,40
4.4,20,16,26,43
4,16,20,25,43
3.6,18,17,26,43
3.2,19,12,40,48
2.8,22,13,38,50
2.4,22,13,37,49
2,20,15,42,48
1.6,19,18,44,50
1.2,19,19,45,51
0.8,19,18,48,52
0.4,22,21,50,57
0,21,27,48,58
