Time,nI,nA,nC,nColo
10,0,0,0,0
9.6,7,0,0,7
9.2,10,0,0,10
8.8,11,1,0,12
8.4,12,2,0,13
8,11,2,5,15
7.6,10,1,9,15
7.2,8,2,12,16
6.8,10,3,13,19
6.4,9,4,15,20
6,10,4,15,22
5.6,12,4,15,23
5.2,15,6,13,27
4.8,16,7,11,27
4.4,18,7,18,30
4,18,9,23,32
3.6,17,8,26,33
3.2,15,10,32,33
2.8,14,11,42,35
2.4,14,13,43,36
2,13,15,50,35
1.6,14,14,46,37
1.2,11,16,60,38
0.8,17,15,65,44
0.4,18,15,67,46
0,21,13,71,50
