Clade_name,Status,Missing_species,Branching_times
81,"Endemic",0,"9.967138,1.775224,0.733595"
35,"Non_endemic",0,"9.305972"
66,"Endemic",0,"9.180597,6.913985"
41,"Endemic",0,"9.118052"
28,"Endemic",0,"8.614985"
48,"Non_endemic",0,"7.745321"
13,"Endemic",0,"7.546609,7.050239,2.416615"
75,"Endemic",0,"7.181258,2.615004,1.298791"
1,"Endemic",0,"7.140662,0.500506,0.015179"
35,"Endemic",0,"6.886261,5.448141"
46,"Endemic",0,"6.153114,3.346314,3.017843,1.038600"
16,"Endemic",0,"5.857876"
86,"Endemic",0,"5.755523,4.878844,1.267901,0.867400"
60,"Endemic",0,"5.581961"
68,"Endemic",0,"5.332795"
66,"Endemic",0,"5.257693,3.011423"
8,"Endemic",0,"5.144788,4.448388,1.997809"
7,"Endemic",0,"4.703038"
63,"Endemic",0,"4.224178"
77,"Non_endemic",0,"4.149042"
57,"Endemic",0,"4.107799,3.210189,1.448531"
0,"Non_endemic",0,"4.094532"
16,"Endemic",0,"3.829516,1.569422"
54,"Endemic",0,"3.767427"
6,"Endemic",0,"3.694968,1.649376"
41,"Non_endemic",0,"3.560787"
80,"Non_endemic",0,"3.410721"
95,"Endemic",0,"3.238312,1.833362"
59,"Endemic",0,"3.150621,0.814131"
30,"Endemic",0,"2.814101"
62,"Endemic",0,"2.769117"
37,"Endemic",0,"2.672706,2.310813,0.520736"
85,"Endemic",0,"2.397156"
81,"Endemic",0,"2.149953,1.234569"
34,"Endemic",0,"2.100876"
15,"Non_endemic",0,"1.979945"
60,"Endemic",0,"1.860880"
18,"Non_endemic",0,"1.680631"
84,"Non_endemic",0,"1.661503"
46,"Non_endemic",0,"1.514726"
54,"Non_endemic",0,"1.197447"
30,"Endemic",0,"1.188579,0.495998"
67,"Non_endemic",0,"0.874513"
34,"Non_endemic",0,"0.869313"
3,"Endemic",0,"0.855486,0.091056"
72,"Non_endemic",0,"0.819717"
69,"Non_endemic",0,"0.741783"
73,"Non_endemic",0,"0.630768"
32,"Non_endemic",0,"0.389697"
37,"Non_endemic",0,"0.338869"
87,"Non_endemic",0,"0.251122"
63,"Endemic",0,"0.235058"
78,"Non_endemic",0,"0.187936"
91,"Non_endemic",0,"0.045214"
